10317.000001000,
10317.000001001,
10317.000001002,
10317.000001004,
10317.000001008,
10317.000001011,
10317.000001018,
10317.000001020,
10317.000001022,
10317.000001025,
10317.000001026,
10317.000001028,
10317.000001030,
10317.000001031,
10317.000001032,
10317.000001038,
10317.000001040,
10317.000001041,
10317.000001042,
10317.000001044,
10317.000001046,
10317.000001047,
10317.000001048,
10317.000001049,
10317.000001056,
10317.000001058,
10317.000001059,
10317.000001060,
10317.000001061,
10317.000001062,
10317.000001065,
10317.000001067,
10317.000001069,
10317.000001072,
10317.000001073,
10317.000001077,
10317.000001078,
10317.000001079,
10317.000001084,
10317.000001086,
10317.000001089,
10317.000001097,
10317.000001098,
10317.000001099,
10317.000001100,
10317.000001109,
10317.000001110,
10317.000001111,
10317.000001114,
10317.000001115,
10317.000001116,
10317.000001118,
10317.000001120,
10317.000001121,
10317.000001125,
10317.000001126,
10317.000001127,
10317.000001128,
10317.000001129,
10317.000001130,
10317.000001135,
10317.000001138,
10317.000001139,
10317.000001140,
10317.000001141,
10317.000001142,
10317.000001150,
10317.000001151,
10317.000001152,
10317.000001154,
10317.000001155,
10317.000001156,
10317.000001161,
10317.000001164,
10317.000001166,
10317.000001170,
10317.000001171,
10317.000001173,
10317.000001174,
10317.000001175,
10317.000001179,
10317.000001180,
10317.000001182,
10317.000001183,
10317.000001184,
10317.000001186,
10317.000001187,
10317.000001189,
10317.000001192,
10317.000001193,
10317.000001194,
10317.000001196,
10317.000001197,
10317.000001198,
10317.000001203,
10317.000001205,
10317.000001208,
10317.000001209,
10317.000001210,
10317.000001214,
10317.000001216,
10317.000001218,
10317.000001221,
10317.000001225,
10317.000001226,
10317.000001228,
10317.000001230,
10317.000001231,
10317.000001232,
10317.000001234,
10317.000001238,
10317.000001240,
10317.000001241,
10317.000001243,
10317.000001244,
10317.000001246,
10317.000001247,
10317.000001248,
10317.000001249,
10317.000001252,
10317.000001253,
10317.000001255,
10317.000001256,
10317.000001263,
10317.000001265,
10317.000001267,
10317.000001269,
10317.000001270,
10317.000001271,
10317.000001272,
10317.000001275,
10317.000001278,
10317.000001281,
10317.000001282,
10317.000001284,
10317.000001285,
10317.000001286,
10317.000001288,
10317.000001291,
10317.000001294,
10317.000001299,
10317.000001300,
10317.000001301,
10317.000001302,
10317.000001303,
10317.000001305,
10317.000001307,
10317.000001311,
10317.000001312,
10317.000001315,
10317.000001317,
10317.000001321,
10317.000001322,
10317.000001325,
10317.000001327,
10317.000001328,
10317.000001331,
