gene, test statistic, p-value, number of groups
p0273-p0314-p0156-p0371,1.3441507239114194,0.252,2
p0141-p0313-p0016-p0015,1.8375662366676293,0.098,2
p0166-p0357-p0308-p0174,1.2382962587257766,0.385,2
p0156-p0392-p0283-p0356,1.1623106138713042,0.411,2
p0376-p0073-p0012-p0214,1.7308040167577454,0.083,2
p0117-p0010-p0127-p0169,1.524859599060211,0.144,2
p0272-p0138-p0065-p0233,1.4666552352177238,0.153,2
p0350-p0202-p0207-p0395,1.601620136274305,0.166,2
p0214-p0257-p0244-p0070,1.4394147062617944,0.281,2
p0246-p0042-p0344-p0192,1.0506531393703387,0.515,2
p0010-p0068-p0207-p0149,1.5963548951411894,0.115,2
p0264-p0118-p0106-p0391,0.6352326143573427,0.831,2
p0217-p0216-p0176-p0092,1.3636096808295546,0.267,2
p0120-p0183-p0147-p0210,1.711149009149276,0.163,2
p0299-p0147-p0277-p0284,1.5087958492975713,0.254,2
p0351-p0169-p0181-p0132,1.1757665320433894,0.394,2
p0079-p0209-p0010-p0323,1.5575810423771723,0.121,2
p0292-p0030-p0139-p0254,0.9369419765515656,0.54,2
p0319-p0169-p0209-p0342,1.9494920415383166,0.095,2
p0372-p0197-p0248-p0202,0.5920595291108468,0.72,2
p0206-p0116-p0106-p0292,1.361334614200036,0.185,2
p0388-p0395-p0271-p0229,-0.17632936037988392,0.946,2
p0135-p0109-p0252-p0254,1.5728760659319627,0.078,2
p0125-p0393-p0389-p0246,0.9728057264755627,0.562,2
p0323-p0070-p0343-p0166,2.03661480287296,0.02,2
p0203-p0063-p0350-p0341,0.758862762898127,0.681,2
p0048-p0219-p0161-p0087,0.8274365401868446,0.65,2
p0018-p0232-p0166-p0117,1.2660748596358793,0.255,2
p0038-p0378-p0372-p0065,-0.42010863555319816,0.941,2
p0383-p0363-p0234-p0015,2.866891871640778,0.022,2
p0371-p0129-p0328-p0100,0.9924403463960247,0.509,2
p0062-p0316-p0344-p0373,0.9042866211161932,0.579,2
p0151-p0011-p0094-p0068,1.0181883877652806,0.491,2
p0092-p0364-p0084-p0370,1.7657816934454262,0.098,2
p0195-p0310-p0020-p0341,1.8846506145318198,0.091,2
p0387-p0003-p0183-p0127,1.348067551826025,0.248,2
p0290-p0005-p0184-p0187,2.310168090810759,0.069,2
p0333-p0170-p0064-p0300,1.2456289632375206,0.304,2
p0071-p0078-p0338-p0244,1.3293589853771828,0.267,2
p0030-p0350-p0045-p0137,1.3034424888315923,0.263,2
p0021-p0350-p0005-p0047,1.3839566047964367,0.191,2
p0177-p0078-p0200-p0058,1.5061599400457981,0.109,2
p0010-p0148-p0155-p0005,1.3686067617638358,0.191,2
p0125-p0358-p0348-p0064,0.7006134528546694,0.741,2
p0238-p0130-p0112-p0387,2.374848829928811,0.015,2
p0008-p0223-p0387-p0186,1.38580464923929,0.18,2
p0363-p0177-p0219-p0229,2.0065919617264045,0.115,2
p0262-p0371-p0163-p0295,1.3233754643038536,0.28,2
p0230-p0116-p0132-p0055,1.924112618306846,0.065,2
p0130-p0380-p0370-p0123,1.4421711384912717,0.216,2
p0373-p0116-p0013-p0388,2.446054864468529,0.021,2
p0309-p0226-p0044-p0019,2.2930182623113162,0.064,2
p0014-p0115-p0295-p0371,1.7604612840551266,0.179,2
p0328-p0139-p0071-p0198,1.7334015993817218,0.149,2
p0373-p0025-p0136-p0392,0.6319542384376371,0.726,2
p0058-p0115-p0236-p0346,2.5498477379130047,0.005,2
p0033-p0280-p0057-p0128,1.8997686441040418,0.032,2
p0338-p0215-p0361-p0379,1.2008234743437978,0.45,2
p0346-p0038-p0034-p0175,1.4742235429214634,0.228,2
p0041-p0258-p0373-p0363,1.6272919185016388,0.241,2
p0370-p0252-p0180-p0173,1.2927996065153315,0.296,2
p0341-p0332-p0266-p0280,1.7060324592138905,0.147,2
p0131-p0367-p0054-p0175,0.9316176644925447,0.532,2
p0148-p0051-p0322-p0104,2.2006308516634108,0.046,2
p0091-p0191-p0014-p0183,1.4204437742527452,0.306,2
p0143-p0232-p0303-p0274,1.7046971120474235,0.201,2
p0210-p0040-p0250-p0357,0.7558866484717492,0.652,2
p0387-p0253-p0106-p0057,1.5848195611368874,0.197,2
p0060-p0393-p0238-p0243,2.2673296332554043,0.024,2
p0054-p0109-p0397-p0347,2.089774285120445,0.008,2
p0293-p0278-p0010-p0266,1.0507478235470007,0.506,2
p0196-p0176-p0001-p0365,1.6004063861790618,0.126,2
p0154-p0223-p0097-p0357,1.8695090046216056,0.059,2
p0118-p0155-p0309-p0079,2.3316368116869906,0.05,2
p0089-p0092-p0083-p0176,1.3477596328993497,0.193,2
p0386-p0011-p0210-p0366,1.622920656837078,0.163,2
p0177-p0037-p0137-p0202,1.7060806192982845,0.077,2
p0257-p0292-p0389-p0191,1.6341260520060512,0.188,2
p0003-p0330-p0231-p0194,1.2615477321692248,0.28,2
p0134-p0089-p0026-p0198,1.602069700495312,0.191,2
p0028-p0279-p0004-p0030,1.0471462076627922,0.471,2
p0125-p0248-p0013-p0371,1.041019298765439,0.512,2
p0307-p0380-p0347-p0040,-0.0932581817074099,0.971,2
p0304-p0370-p0303-p0280,1.9543543494081252,0.059,2
p0328-p0307-p0190-p0233,0.5073081546856666,0.852,2
p0354-p0069-p0096-p0137,1.6017302056769542,0.095,2
p0384-p0070-p0064-p0243,1.2357295744602268,0.371,2
p0045-p0346-p0185-p0235,2.069546656373422,0.04,2
p0381-p0378-p0347-p0243,0.7781811177653541,0.694,2
p0340-p0373-p0354-p0168,0.07209476891684256,0.88,2
p0085-p0262-p0154-p0365,0.9949174914944565,0.507,2
p0370-p0050-p0290-p0024,1.4246901666372884,0.335,2
p0039-p0231-p0122-p0345,1.3638840326718036,0.37,2
p0328-p0279-p0070-p0106,1.4228323745065903,0.189,2
p0294-p0282-p0207-p0352,0.8627926887442686,0.564,2
p0328-p0395-p0160-p0150,1.468401223839163,0.244,2
p0335-p0079-p0384-p0300,0.869714541823824,0.631,2
p0260-p0207-p0318-p0077,2.0119514011503865,0.085,2
p0004-p0103-p0188-p0173,1.8548909985636053,0.065,2
p0070-p0209-p0322-p0232,1.9874890661823998,0.071,2
p0346-p0239-p0307-p0108,1.8776267488451657,0.106,2
p0227-p0052-p0199-p0134,1.155175741547387,0.44,2
p0107-p0114-p0266-p0060,1.3071066118015684,0.254,2
p0019-p0126-p0348-p0049,1.0239438697530223,0.492,2
p0230-p0295-p0255-p0072,3.14841753172344,0.01,2
p0350-p0025-p0050-p0253,1.3930405127052834,0.296,2
p0215-p0085-p0165-p0320,1.6183322548957861,0.139,2
p0014-p0282-p0176-p0186,0.9751117611650832,0.548,2
p0265-p0008-p0131-p0382,1.77748412537389,0.104,2
p0257-p0020-p0025-p0198,0.9372494423239103,0.557,2
p0100-p0116-p0077-p0199,1.3425399366247375,0.315,2
p0202-p0031-p0280-p0049,2.1371660693261347,0.016,2
p0216-p0382-p0080-p0358,1.6652388751023948,0.159,2
p0317-p0044-p0384-p0291,1.3820598399565007,0.262,2
p0228-p0304-p0150-p0018,1.4545816435222385,0.246,2
p0274-p0317-p0117-p0125,1.1042397675178268,0.436,2
p0145-p0114-p0377-p0197,0.07162868319114676,0.946,2
p0392-p0262-p0268-p0170,1.0628273681714053,0.527,2
p0080-p0252-p0113-p0096,1.8418486492219917,0.077,2
p0334-p0183-p0227-p0111,0.05611183755496725,0.911,2
p0106-p0248-p0174-p0170,1.5503089233014369,0.168,2
p0299-p0060-p0184-p0152,1.2421641737573899,0.346,2
p0011-p0090-p0320-p0227,0.6894807985247788,0.757,2
p0072-p0120-p0193-p0177,1.63370016090893,0.116,2
p0195-p0101-p0249-p0242,0.2632945843968866,0.839,2
p0258-p0373-p0208-p0201,0.8144917160997638,0.617,2
p0280-p0073-p0050-p0395,1.5623667734387983,0.164,2
p0166-p0333-p0360-p0058,2.330258563660644,0.015,2
p0161-p0287-p0031-p0360,1.4121442041245889,0.301,2
p0136-p0065-p0036-p0395,1.7325437425729133,0.09,2
p0355-p0138-p0127-p0029,1.6936381545037367,0.085,2
p0100-p0107-p0081-p0277,1.1122162100264406,0.404,2
p0316-p0306-p0096-p0004,1.282840154481754,0.362,2
p0113-p0122-p0037-p0111,1.1606087436165673,0.325,2
p0216-p0001-p0119-p0242,1.7906404870967565,0.139,2
p0083-p0286-p0043-p0241,0.5209790032122235,0.848,2
p0104-p0039-p0071-p0380,1.541586447503899,0.112,2
p0253-p0350-p0386-p0170,1.0404569212247226,0.518,2
p0030-p0034-p0022-p0204,0.8898725326172581,0.586,2
p0263-p0137-p0063-p0355,1.5680876522023646,0.145,2
p0299-p0348-p0220-p0298,1.3238684252046353,0.295,2
p0194-p0069-p0080-p0116,1.8138342353282142,0.059,2
p0086-p0390-p0103-p0285,1.4426482185317846,0.28,2
p0363-p0059-p0183-p0348,2.084425634903916,0.098,2
p0224-p0114-p0081-p0044,1.3684962798662679,0.201,2
p0018-p0231-p0287-p0082,0.9715751102615364,0.545,2
p0312-p0255-p0217-p0292,4.159052981877573,0.016,2
p0227-p0182-p0050-p0327,-0.29700674589174003,0.98,2
p0124-p0148-p0226-p0342,1.9936772656587674,0.106,2
p0039-p0028-p0081-p0194,1.741425367763588,0.067,2
p0135-p0395-p0280-p0109,1.6477306920158135,0.112,2
p0010-p0385-p0065-p0137,1.469602951083875,0.094,2
p0385-p0006-p0351-p0169,1.1146405306187375,0.441,2
p0241-p0141-p0230-p0135,2.04775865562634,0.05,2
p0204-p0293-p0153-p0203,0.3392956469515713,0.837,2
p0316-p0307-p0214-p0068,0.31714154249336973,0.925,2
p0397-p0340-p0165-p0200,0.887783781150707,0.62,2
p0087-p0320-p0119-p0085,0.9744000758391277,0.509,2
p0033-p0055-p0156-p0195,1.4913912636589572,0.153,2
p0078-p0174-p0021-p0079,2.825407833406267,0.005,2
