gene, correlational coefficient, p value, size
p0090,0.33731874964615216,0.001,78
p0099,0.4694924828687064,0.001,78
p0093,0.44072187101612664,0.001,78
p0092,0.5255837531762364,0.001,78
p0094,0.3273227286874289,0.001,78
p0095,0.5395929765123173,0.001,78
p0096,0.4302462789379178,0.001,78
p0101,0.45424198639344826,0.001,78
p0102,0.3417892130588015,0.001,78
p0100,0.5150576934529449,0.001,78
p0104,0.4918515169215375,0.001,78
p0103,0.4563478169724898,0.001,78
p0107,0.41986134753854415,0.001,78
p0106,0.46455344698311646,0.001,78
p0105,0.3889875907162776,0.001,78
p0117,0.3336246838154533,0.001,78
p0109,0.5249064128501131,0.001,78
p0108,0.4403045133172989,0.001,78
p0097,0.47125656100283914,0.001,78
p0114,0.4686168000451476,0.001,78
p0098,0.44243402636672696,0.001,78
p0111,0.35578181313959406,0.001,78
p0110,0.48066159563793603,0.001,78
p0112,0.48683151591736956,0.001,79
p0113,0.5212501561242324,0.001,78
p0115,0.392628186852311,0.001,78
p0116,0.5040303046336496,0.001,79
p0123,0.5114918113766715,0.001,78
p0124,0.1499064126784211,0.009,78
p0118,0.5174273600576187,0.001,78
p0119,0.4189310315671925,0.001,78
p0120,0.4501804994935393,0.001,78
p0121,0.4730901530507022,0.001,79
p0122,0.4102947208659734,0.001,78
p0127,0.5472302911370253,0.001,78
p0131,0.4085312322642939,0.001,78
p0125,0.4502991162045079,0.001,78
p0129,0.2754407805786095,0.005,78
p0128,0.5468780172445543,0.001,78
p0130,0.5144308848790807,0.001,78
p0126,0.291317423531125,0.002,78
p0134,0.34704913209041743,0.001,78
p0133,0.39667471430702067,0.001,78
p0132,0.3597539206867106,0.001,78
p0137,0.5137752197407771,0.001,78
p0139,0.4394792173735713,0.001,78
p0141,0.5039671332561244,0.001,78
p0138,0.43125706647296874,0.001,79
p0142,0.3231036817848385,0.001,78
p0144,0.4115205438689566,0.001,79
p0143,0.4622691589426334,0.001,78
p0145,0.38729786323526094,0.001,78
p0150,0.44686637827155284,0.001,78
p0151,0.48594044352016363,0.001,78
p0140,0.43920774897905085,0.001,78
p0146,0.47911875647355634,0.001,78
p0147,0.3709194284853806,0.001,78
p0148,0.44839369941867613,0.001,78
p0149,0.4249307263532587,0.001,78
p0154,0.36676169470852404,0.001,78
p0152,0.40735349402194976,0.001,78
p0135,0.492333553115911,0.001,78
p0136,0.49759961829235333,0.001,79
p0155,0.38733826156386414,0.001,78
p0153,0.47661840811808726,0.001,78
p0157,0.46316832740287917,0.001,78
p0159,0.4896705070987247,0.001,78
p0167,0.3180846255366274,0.001,78
p0156,0.5408171834045011,0.001,78
p0160,0.517455578891935,0.001,78
p0161,0.5085513481949135,0.001,78
p0163,0.5210878433173031,0.001,79
p0162,0.41685794372906715,0.001,78
p0164,0.5492406860033555,0.001,78
p0165,0.4705041627703837,0.001,78
p0166,0.5277700068814493,0.001,78
p0168,0.43403516359347444,0.001,78
p0170,0.23505256620301518,0.002,78
p0171,0.3914201593886697,0.001,78
p0169,0.47267435325604973,0.001,78
p0176,0.35420361365063613,0.001,78
p0177,0.4775487437271787,0.001,78
p0172,0.5503602192309165,0.001,79
p0184,0.17675247577736944,0.001,78
p0173,0.43025911295250546,0.001,78
p0174,0.5606264609247609,0.001,78
p0182,0.4348770982945834,0.001,78
p0175,0.3875759752267283,0.001,78
p0180,0.4390718334653848,0.001,78
p0183,0.4822810830378253,0.001,78
p0181,0.4799396576581814,0.001,78
p0192,0.35672639657968414,0.001,78
p0185,0.3248814561289975,0.001,78
p0195,0.503513228640025,0.001,78
p0187,0.3591704162247541,0.001,79
p0188,0.3192377610534135,0.001,78
p0189,0.4632760496482138,0.001,78
p0186,0.5615511718646491,0.001,78
p0191,0.3639129913043235,0.001,78
p0190,0.5214839096565399,0.001,78
p0194,0.49894412468413285,0.001,78
p0193,0.48710191298416977,0.001,78
p0178,0.3991705257357815,0.001,79
p0196,0.46476889350368633,0.001,78
p0179,0.46950119547736413,0.001,78
p0199,0.40034473201995086,0.001,79
p0197,0.5129998946413595,0.001,78
p0198,0.4340418461987189,0.001,79
p0204,0.5538712134557934,0.001,78
p0202,0.5157680569203962,0.001,78
p0200,0.40946364843501776,0.001,78
p0210,0.3963362275573442,0.001,78
p0203,0.3475984941757262,0.001,78
p0205,0.33571095794049816,0.001,78
p0208,0.5030301150778523,0.001,78
p0206,0.469534792032435,0.001,78
p0219,0.38669837589818107,0.001,78
p0209,0.44494200174835546,0.001,78
p0214,0.3999029790357108,0.001,78
p0211,0.5017920091606378,0.001,79
p0213,0.4199769223392822,0.001,78
p0216,0.3717401496791545,0.001,78
p0217,0.4910652648275546,0.001,78
p0215,0.4239382143301305,0.001,78
p0224,0.47042950860001104,0.001,78
p0220,0.4069870485426049,0.001,78
p0201,0.261809657214417,0.001,78
p0222,0.4371383877908445,0.001,78
p0207,0.3214740204105861,0.001,78
p0230,0.5329609994750429,0.001,78
p0225,0.5158839645363046,0.001,78
p0226,0.44446172504320575,0.001,78
p0227,0.39146863658036163,0.001,78
p0233,0.49452530266917233,0.001,78
p0228,0.5671063233816148,0.001,78
p0235,0.40900426301315373,0.001,79
p0234,0.5200811668226754,0.001,79
p0229,0.4634102782690248,0.001,78
p0244,0.3964658059828093,0.001,78
p0231,0.28890891282112974,0.001,78
p0232,0.4459320935573629,0.001,78
p0236,0.44221085331400206,0.001,78
p0221,0.5480902362450074,0.001,78
p0237,0.4174392820226356,0.001,78
p0223,0.22270458275670182,0.005,78
p0238,0.5643099617048276,0.001,78
p0239,0.4880763848434889,0.001,78
p0241,0.520227741160189,0.001,78
p0242,0.44790870589164455,0.001,78
p0250,0.43498575040336096,0.001,78
p0243,0.4632936602717542,0.001,78
p0246,0.20378325798085517,0.001,78
p0247,0.2509061881624106,0.001,78
p0248,0.46963875156032153,0.001,79
p0252,0.4716153022802392,0.001,78
p0253,0.4369279402527819,0.001,78
p0257,0.397361911913186,0.001,78
p0254,0.5178191341815033,0.001,78
p0255,0.44245036576035995,0.001,78
p0256,0.5044724195080169,0.001,78
p0260,0.45828625955335656,0.001,78
p0258,0.4978708260160856,0.001,78
p0259,0.34494309585369226,0.001,78
p0249,0.32318556222493294,0.001,78
p0263,0.399328426879031,0.001,78
p0261,0.3037387918307492,0.001,78
p0262,0.31451292120725616,0.001,78
p0271,0.40163270508653576,0.001,78
p0265,0.33811709876707113,0.002,78
p0268,0.49581077594822354,0.001,78
p0267,0.3781207120951364,0.001,78
p0269,0.3730857510655936,0.001,78
p0270,0.38874589615589605,0.001,78
p0272,0.3992626645742313,0.001,78
p0273,0.4285178659327095,0.001,78
p0285,0.511850068935367,0.001,78
p0282,0.5070595455807438,0.001,78
p0274,0.3509544067991601,0.001,79
p0277,0.48497878875152367,0.001,78
p0278,0.36728257931829256,0.001,78
p0279,0.45530080284408403,0.001,78
p0283,0.5370218819261136,0.001,78
p0280,0.5675511275770638,0.001,78
p0284,0.3442531078293309,0.001,78
p0286,0.4300376898320187,0.001,79
p0264,0.474725226853066,0.001,78
p0266,0.49238098267362534,0.001,78
p0292,0.4878264597275255,0.001,78
p0288,0.31991907557871707,0.001,78
p0289,0.4472143570498964,0.001,79
p0290,0.3789927874845237,0.001,78
p0291,0.5084335564930266,0.001,78
p0293,0.5068304859332387,0.001,79
p0295,0.322555741380764,0.001,78
p0294,0.46331461357959414,0.001,79
p0297,0.4713909707967411,0.001,78
p0298,0.2936660254436046,0.001,78
p0301,0.5130737715167228,0.001,78
p0308,0.3228848682154882,0.001,82
p0299,0.41276542588596005,0.001,78
p0303,0.5108657618868512,0.001,78
p0304,0.4197288043454308,0.001,78
p0306,0.42477642157105533,0.001,78
p0307,0.3258869116103033,0.001,78
p0300,0.5036446476524308,0.001,79
p0305,0.3657246603882899,0.001,78
p0287,0.5318680362645087,0.001,78
p0310,0.4671100597616655,0.001,78
p0309,0.34042112800296603,0.001,78
p0311,0.5313283324245321,0.001,78
p0314,0.40404981100495385,0.001,78
p0324,0.5050082534160417,0.001,78
p0315,0.36240907160862085,0.001,78
p0319,0.5059947182030577,0.001,78
p0320,0.48198688612919127,0.001,78
p0317,0.5064598473824997,0.001,78
p0322,0.4339518791045131,0.001,78
p0321,0.4310707350032537,0.001,78
p0318,0.32923237459757726,0.007,78
p0323,0.4105137466411401,0.001,78
p0316,0.4733634149066579,0.001,78
p0327,0.5554134574475943,0.001,78
p0325,0.509816747591898,0.001,78
p0330,0.4711996381313854,0.001,78
p0326,0.32588084900841163,0.001,78
p0340,0.5640661112484765,0.001,79
p0328,0.39314419636501974,0.001,78
p0313,0.4344172659695125,0.001,78
p0333,0.43508902006576616,0.001,78
p0334,0.3688225891534328,0.001,78
p0339,0.47881042034393434,0.001,79
p0337,0.40187703820427634,0.001,78
p0338,0.4593212257707319,0.001,78
p0332,0.2938485956424306,0.001,78
p0342,0.35227035944666535,0.001,78
p0343,0.43127491981542987,0.001,78
p0335,0.43289800286955327,0.001,78
p0357,0.41379658086137977,0.001,78
p0344,0.4145472297002201,0.001,78
p0345,0.4497089486566603,0.001,78
p0352,0.4004560609846489,0.001,78
p0351,0.5520482506655352,0.001,78
p0346,0.35552124912318417,0.001,79
p0348,0.56236761879015,0.001,78
p0354,0.5224647715334121,0.001,78
p0341,0.28060688009069423,0.001,78
p0350,0.5866005876352703,0.001,78
p0361,0.3346868702915653,0.001,79
p0360,0.40362609439698816,0.001,78
p0355,0.5435452619300983,0.001,78
p0368,0.3423171525232109,0.001,78
p0365,0.40641639987936345,0.001,79
p0364,0.5576170410538218,0.001,78
p0363,0.27612364529048866,0.003,78
p0356,0.4551109223471247,0.001,78
p0358,0.35972162817854003,0.001,78
p0366,0.2859023906598466,0.001,78
p0347,0.4039573044312907,0.001,78
p0367,0.26730547928980863,0.001,78
p0371,0.38750777275093307,0.001,78
p0369,0.3947539125924,0.001,78
p0372,0.31000593293227136,0.001,79
p0370,0.4548233045132636,0.001,78
p0375,0.532009320363008,0.001,78
p0373,0.3612283658806677,0.001,79
p0376,0.4920037514483912,0.001,78
p0362,0.23851918949593381,0.001,78
p0384,0.3994296037798157,0.001,78
p0382,0.43022191557495204,0.001,79
p0377,0.44853595428965065,0.001,78
p0381,0.405123749517653,0.001,78
p0378,0.45782370795540694,0.001,78
p0386,0.41885321315147084,0.001,78
p0388,0.27160392435996483,0.001,78
p0387,0.3369921573599632,0.001,78
