gene, test statistic, p-value, number of groups
p0060-p0232-p0130-p0358-p0050-p0339,1.329232859731071,0.327,2
p0264-p0269-p0145-p0098-p0180-p0148,1.0981660388260783,0.394,2
p0148-p0156-p0306-p0066-p0261-p0084,1.3822049333388258,0.323,2
p0050-p0115-p0222-p0003-p0280-p0080,1.8393150955313542,0.087,2
p0184-p0376-p0011-p0000-p0168-p0025,0.21762942671678945,0.922,2
p0387-p0182-p0298-p0177-p0180-p0211,1.448300518415596,0.236,2
p0375-p0098-p0157-p0385-p0011-p0270,2.1460080316236665,0.01,2
p0372-p0010-p0253-p0393-p0026-p0099,1.2262558134847656,0.429,2
p0394-p0144-p0045-p0011-p0352-p0299,0.5160377789210236,0.744,2
p0026-p0142-p0089-p0126-p0367-p0311,2.195272166056914,0.037,2
p0012-p0358-p0387-p0007-p0031-p0298,1.0563640384854507,0.468,2
p0261-p0103-p0180-p0120-p0138-p0021,2.1594612184701862,0.035,2
p0077-p0007-p0190-p0301-p0259-p0017,1.775070868106279,0.141,2
p0282-p0095-p0221-p0120-p0288-p0024,1.6595969545360967,0.154,2
p0198-p0237-p0314-p0055-p0311-p0004,1.1063665293406801,0.464,2
p0309-p0225-p0249-p0219-p0317-p0048,2.4954168333796267,0.041,2
p0391-p0256-p0142-p0000-p0357-p0312,2.2735383196084094,0.113,2
p0016-p0000-p0399-p0264-p0358-p0355,1.7787235142845057,0.095,2
p0255-p0385-p0323-p0073-p0261-p0170,1.8887695326382794,0.132,2
p0342-p0343-p0364-p0289-p0157-p0068,1.1742447591616345,0.437,2
p0073-p0220-p0297-p0277-p0273-p0155,1.9018913314375807,0.096,2
p0169-p0153-p0165-p0189-p0330-p0352,1.863157445753459,0.105,2
p0291-p0027-p0273-p0360-p0135-p0195,1.5377709859018205,0.217,2
p0128-p0236-p0110-p0054-p0225-p0031,1.5772144954667444,0.097,2
p0027-p0021-p0274-p0102-p0128-p0379,0.9922004754095606,0.509,2
p0199-p0211-p0235-p0339-p0012-p0194,2.2807190566576314,0.042,2
p0267-p0231-p0129-p0126-p0117-p0204,-0.15939815428065104,0.927,2
p0096-p0010-p0068-p0113-p0390-p0187,2.78148310517841,0.012,2
p0326-p0036-p0034-p0086-p0323-p0192,1.364963435095457,0.257,2
p0243-p0386-p0014-p0241-p0202-p0051,1.3916427355724235,0.287,2
p0103-p0197-p0078-p0164-p0137-p0033,0.6871833160719167,0.754,2
p0190-p0078-p0019-p0113-p0284-p0007,1.1938496881597014,0.393,2
p0261-p0376-p0399-p0250-p0321-p0099,1.5349350221039955,0.226,2
p0242-p0122-p0210-p0047-p0233-p0263,1.4723148965478932,0.236,2
p0316-p0210-p0263-p0268-p0150-p0373,1.1762741350556858,0.404,2
p0055-p0174-p0074-p0388-p0049-p0308,1.7073674620246626,0.27,2
p0039-p0354-p0260-p0395-p0114-p0308,2.1612714513608378,0.109,2
p0230-p0160-p0364-p0338-p0198-p0372,3.234770507107315,0.012,2
p0184-p0221-p0380-p0313-p0304-p0398,1.3077145463465978,0.311,2
p0298-p0159-p0286-p0084-p0366-p0235,0.7148443586448344,0.702,2
p0167-p0082-p0017-p0262-p0322-p0358,0.9942801574290013,0.551,2
p0270-p0375-p0306-p0300-p0175-p0379,1.0143135657454332,0.52,2
p0161-p0259-p0397-p0006-p0194-p0122,1.8074374449565256,0.101,2
p0033-p0285-p0123-p0321-p0231-p0045,-0.2009869310347594,0.931,2
p0363-p0041-p0099-p0200-p0005-p0166,1.8852050772862834,0.11,2
p0232-p0137-p0043-p0399-p0310-p0038,1.375896348235964,0.188,2
p0262-p0246-p0390-p0324-p0183-p0287,1.0574852785477353,0.476,2
p0007-p0075-p0151-p0367-p0325-p0097,1.0388809703798745,0.495,2
p0040-p0017-p0280-p0310-p0083-p0066,0.9749602759600233,0.495,2
p0060-p0321-p0164-p0099-p0222-p0134,0.5271200482429552,0.75,2
p0225-p0242-p0008-p0206-p0024-p0277,1.7063262604630447,0.134,2
p0173-p0259-p0167-p0227-p0361-p0039,1.1914196993325195,0.445,2
p0057-p0112-p0097-p0295-p0146-p0309,3.34843369854654,0.006,2
p0394-p0395-p0317-p0199-p0154-p0339,1.4883080499784012,0.297,2
p0338-p0097-p0241-p0332-p0256-p0321,2.1481763426986396,0.028,2
p0101-p0111-p0180-p0020-p0064-p0242,0.10789532233786543,0.907,2
p0166-p0014-p0363-p0244-p0176-p0199,1.9512270711891142,0.149,2
p0092-p0119-p0392-p0003-p0154-p0058,1.5654045533809884,0.178,2
p0242-p0306-p0093-p0079-p0319-p0066,1.4430860683660458,0.28,2
p0346-p0255-p0110-p0102-p0016-p0048,2.0308004158586543,0.052,2
p0066-p0327-p0378-p0246-p0323-p0155,0.8901549029362261,0.599,2
p0378-p0397-p0355-p0185-p0389-p0034,1.2216167567865832,0.384,2
p0230-p0324-p0038-p0045-p0265-p0046,1.2718259699416914,0.387,2
p0358-p0369-p0292-p0136-p0105-p0313,1.8336659767810188,0.12,2
p0025-p0371-p0047-p0057-p0087-p0108,1.6227352947879254,0.086,2
p0297-p0105-p0206-p0269-p0052-p0043,2.1817598078153,0.033,2
p0000-p0175-p0068-p0041-p0170-p0020,0.7684113300147497,0.683,2
p0170-p0237-p0151-p0149-p0112-p0217,0.8559765729790835,0.599,2
p0303-p0183-p0006-p0060-p0056-p0174,1.2627856275263327,0.343,2
p0188-p0107-p0366-p0162-p0164-p0024,1.1143661534690257,0.455,2
p0085-p0119-p0143-p0382-p0395-p0385,1.6277979441223756,0.145,2
p0229-p0335-p0308-p0059-p0334-p0383,1.1528180840221343,0.454,2
p0257-p0006-p0086-p0222-p0081-p0131,0.740082137346819,0.688,2
p0346-p0052-p0139-p0183-p0001-p0320,1.831139447559357,0.096,2
p0394-p0128-p0130-p0243-p0115-p0204,1.6902368752156098,0.179,2
p0241-p0102-p0397-p0209-p0188-p0304,1.9806079120681028,0.028,2
p0311-p0244-p0080-p0023-p0042-p0231,2.233966991439005,0.018,2
p0260-p0230-p0216-p0208-p0147-p0255,2.602521936056518,0.037,2
p0012-p0225-p0337-p0230-p0264-p0122,1.9586299063590449,0.055,2
p0040-p0214-p0304-p0064-p0173-p0115,1.7086020385321092,0.143,2
p0246-p0074-p0258-p0332-p0097-p0044,1.9567740773785163,0.079,2
p0078-p0188-p0273-p0376-p0280-p0023,1.891174038456284,0.053,2
p0130-p0261-p0103-p0210-p0301-p0253,1.3635389056226752,0.327,2
p0301-p0131-p0161-p0051-p0213-p0208,1.2101093225908177,0.405,2
p0128-p0123-p0080-p0073-p0063-p0164,0.8748246843725106,0.64,2
p0175-p0136-p0174-p0389-p0159-p0256,1.2668850067148345,0.274,2
p0382-p0002-p0109-p0280-p0057-p0230,1.8086200601492586,0.099,2
p0397-p0236-p0035-p0009-p0007-p0080,1.6315208275760398,0.111,2
p0142-p0173-p0196-p0004-p0056-p0317,1.4984990575032369,0.112,2
p0271-p0320-p0283-p0009-p0162-p0261,0.9594811055440254,0.56,2
p0390-p0044-p0114-p0166-p0078-p0072,1.6254241941145777,0.097,2
p0249-p0082-p0043-p0354-p0323-p0133,1.6924809302576198,0.215,2
p0061-p0013-p0063-p0199-p0185-p0337,0.6670704927131399,0.717,2
p0193-p0244-p0183-p0355-p0389-p0159,1.5323716970671197,0.191,2
p0163-p0184-p0137-p0252-p0283-p0095,1.2293936827266352,0.303,2
p0254-p0195-p0390-p0140-p0188-p0314,1.9829653269440797,0.042,2
p0140-p0089-p0001-p0137-p0185-p0380,0.6465528318301369,0.781,2
p0011-p0292-p0358-p0023-p0074-p0196,1.5508882662934131,0.131,2
p0079-p0076-p0255-p0192-p0016-p0356,2.7001383898274707,0.009,2
p0361-p0127-p0004-p0365-p0149-p0286,0.8493443082846384,0.648,2
p0068-p0385-p0228-p0286-p0317-p0089,0.7059075369560164,0.744,2
p0123-p0118-p0269-p0044-p0200-p0022,1.2485441154113546,0.311,2
p0381-p0086-p0358-p0133-p0211-p0288,0.9988439589995854,0.528,2
p0200-p0094-p0192-p0197-p0318-p0127,0.996083573173584,0.494,2
p0035-p0297-p0133-p0136-p0188-p0063,2.6199449260435816,0.008,2
p0216-p0361-p0232-p0145-p0155-p0172,1.11516750550764,0.385,2
p0278-p0210-p0112-p0072-p0140-p0389,1.1896621220606836,0.376,2
p0267-p0358-p0018-p0223-p0236-p0394,1.4565262726291501,0.269,2
p0043-p0267-p0131-p0069-p0247-p0298,0.8308786051235079,0.661,2
p0098-p0105-p0163-p0182-p0206-p0306,1.3011215041251072,0.311,2
p0065-p0304-p0015-p0193-p0125-p0033,1.044568447379618,0.453,2
p0172-p0357-p0377-p0009-p0171-p0083,0.7128983568064662,0.671,2
p0121-p0200-p0069-p0006-p0031-p0049,2.1825173545672207,0.038,2
p0365-p0334-p0347-p0102-p0138-p0210,0.24977536789303956,0.896,2
p0203-p0214-p0368-p0298-p0287-p0365,1.1367600510420532,0.472,2
p0391-p0310-p0146-p0082-p0138-p0096,1.8860941671102898,0.055,2
p0197-p0320-p0180-p0018-p0032-p0384,0.7152427789144747,0.684,2
p0235-p0103-p0187-p0215-p0334-p0391,1.6405007671198553,0.2,2
p0381-p0370-p0383-p0090-p0229-p0093,1.3080494571482233,0.36,2
p0055-p0020-p0056-p0160-p0058-p0334,1.5050492704954501,0.18,2
p0052-p0243-p0273-p0352-p0372-p0330,-0.01729325845240476,0.868,2
p0318-p0176-p0011-p0289-p0215-p0262,0.017584300698214615,0.884,2
p0244-p0129-p0392-p0099-p0265-p0004,0.9113531196272164,0.579,2
p0165-p0018-p0120-p0366-p0195-p0047,1.699669114321052,0.114,2
p0116-p0389-p0264-p0126-p0194-p0299,1.7667193027136463,0.091,2
p0250-p0211-p0025-p0243-p0167-p0092,1.7664258607243155,0.102,2
p0340-p0203-p0389-p0335-p0191-p0270,0.5383254800842734,0.76,2
p0178-p0223-p0075-p0172-p0330-p0160,1.0593720473362183,0.426,2
p0323-p0196-p0343-p0309-p0203-p0280,2.8394086165067773,0.016,2
p0292-p0260-p0055-p0052-p0022-p0020,1.6354974622406138,0.111,2
p0196-p0358-p0294-p0269-p0043-p0149,1.0593246962830611,0.515,2
p0277-p0264-p0024-p0015-p0107-p0046,1.2499971160397494,0.31,2
p0097-p0054-p0368-p0135-p0242-p0295,1.6059301587810486,0.238,2
p0271-p0332-p0348-p0088-p0338-p0321,1.545260326650365,0.147,2
p0025-p0078-p0049-p0010-p0210-p0367,0.9891104580686446,0.53,2
p0045-p0295-p0347-p0142-p0100-p0054,2.098304190849125,0.03,2
p0315-p0029-p0025-p0352-p0397-p0108,1.2661634809107876,0.335,2
p0121-p0172-p0191-p0034-p0125-p0386,1.4737331226384656,0.262,2
p0343-p0255-p0346-p0234-p0385-p0098,3.2330568670825826,0.003,2
p0383-p0128-p0185-p0209-p0101-p0390,1.177868650752328,0.4,2
p0037-p0293-p0107-p0094-p0004-p0314,0.19357781327267706,0.908,2
p0035-p0223-p0144-p0126-p0078-p0189,1.7381710774412171,0.07,2
p0379-p0177-p0040-p0113-p0347-p0246,1.618339914029142,0.225,2
p0291-p0321-p0043-p0076-p0265-p0060,2.033731429667345,0.044,2
p0022-p0111-p0234-p0081-p0168-p0301,0.8812039817571518,0.591,2
p0317-p0003-p0190-p0109-p0237-p0041,1.692246618113581,0.092,2
p0061-p0070-p0293-p0181-p0091-p0137,1.1832343176581674,0.402,2
p0164-p0134-p0263-p0126-p0248-p0018,1.3662787985662963,0.275,2
p0386-p0290-p0106-p0119-p0165-p0076,1.499401712145745,0.243,2
p0187-p0118-p0306-p0050-p0341-p0325,1.9372239585106563,0.12,2
p0129-p0287-p0203-p0254-p0327-p0355,0.6814049995313749,0.695,2
p0284-p0189-p0098-p0111-p0294-p0162,1.1772970011742065,0.448,2
p0137-p0059-p0393-p0378-p0219-p0321,1.6210447482576829,0.194,2
p0130-p0046-p0285-p0150-p0223-p0149,0.783033632893619,0.66,2
p0069-p0194-p0168-p0301-p0270-p0335,1.02631388008189,0.515,2
p0370-p0106-p0071-p0229-p0095-p0361,1.3008870481563135,0.321,2
p0073-p0209-p0187-p0312-p0003-p0166,4.075004887508057,0.009,2
p0156-p0284-p0309-p0048-p0397-p0141,2.657073459990235,0.022,2
p0371-p0265-p0080-p0013-p0280-p0088,1.8807574524730304,0.087,2
p0060-p0371-p0389-p0325-p0133-p0278,0.8447819527230112,0.619,2
p0142-p0151-p0140-p0223-p0183-p0015,1.6801188824171098,0.127,2
p0217-p0323-p0393-p0087-p0360-p0144,0.8060883802171375,0.642,2
p0229-p0071-p0285-p0148-p0093-p0205,1.001867581477265,0.535,2
p0048-p0052-p0159-p0113-p0184-p0332,1.3848872385387556,0.219,2
p0019-p0107-p0375-p0233-p0258-p0045,2.08038962296408,0.038,2
p0092-p0002-p0283-p0109-p0314-p0306,0.5912844220545996,0.77,2
p0312-p0051-p0178-p0081-p0394-p0124,1.4505069194569902,0.356,2
p0370-p0299-p0208-p0285-p0033-p0046,1.3997738202275087,0.284,2
p0379-p0056-p0187-p0381-p0025-p0376,1.717455012224771,0.165,2
p0160-p0007-p0315-p0115-p0200-p0109,1.5101554604727916,0.22,2
p0107-p0120-p0069-p0144-p0142-p0337,1.501926572568167,0.191,2
p0118-p0249-p0365-p0383-p0274-p0136,2.3192570279777445,0.059,2
p0141-p0301-p0232-p0259-p0342-p0377,0.9231080922971567,0.572,2
p0391-p0002-p0032-p0216-p0082-p0282,0.44138481759451886,0.833,2
p0304-p0149-p0156-p0172-p0113-p0112,1.7405799859002016,0.045,2
p0390-p0287-p0161-p0017-p0213-p0228,1.333072699781059,0.296,2
p0056-p0318-p0152-p0104-p0311-p0014,2.8799219624463497,0.009,2
p0050-p0122-p0364-p0028-p0316-p0342,1.3909146736892055,0.275,2
p0007-p0377-p0283-p0019-p0118-p0152,0.9525865605850905,0.565,2
p0034-p0291-p0390-p0273-p0231-p0048,1.843625649260368,0.079,2
p0096-p0214-p0300-p0324-p0011-p0129,1.7626581587171437,0.079,2
p0125-p0393-p0207-p0192-p0236-p0256,1.174033474233973,0.353,2
