10317.000156012,1738.0,no
10317.000149037,1460.0,no
10317.X00168931,1398.0,no
10317.000153092,951.0,no
10317.000151826,914.0,unspecified
10317.000155057,807.0,no
10317.000146423,743.0,yesneg
10317.X00162299,727.0,unspecified
10317.000155931,630.0,no
10317.000151811,626.0,no
10317.000153167,465.0,no
10317.000149418,463.0,no
10317.X00166573,457.0,no
10317.000154461,422.0,no
10317.000149342,405.0,no
10317.000150221,402.0
10317.X00168376,385.0
10317.000152252,366.0
10317.000149985,362.0
10317.X00173510,358.0
10317.000147962,348.0
10317.000155142,343.0
10317.000154553,341.0
10317.X00164944,339.0
10317.000154790,337.0
10317.X00170493,334.0
10317.X00167780,332.0
10317.000148724,311.0
10317.000151250,301.0
10317.000157802,301.0
10317.000148809,282.0
10317.000147921,276.0
10317.X00167701,269.0
10317.000155190,268.0
10317.000148838,267.0
10317.000148017,249.0
10317.000149708,247.0
10317.000158019,243.0
10317.000146276,243.0
10317.000116620,231.0
10317.X00171377,230.0
10317.000155964,228.0
10317.X00161729,228.0
10317.X00171451,226.0
10317.000146751,225.0
10317.000157565,223.0
10317.000154892,221.0
10317.000146748,220.0
10317.X00169445,216.0
10317.000149040,216.0
10317.000146195,214.0
10317.X00170093,207.0
10317.000154889,206.0
10317.000155120,203.0
10317.000148317,203.0
10317.000154632,202.0
10317.X00168786,198.0
10317.000155397,198.0
10317.000148937,195.0
10317.000147743,189.0
10317.000146732,188.0
10317.000151274,184.0
10317.X00168906,181.0
10317.000155865,179.0
10317.000146489,177.0
10317.000156126,175.0
10317.000154481,174.0
10317.000156008,172.0
10317.000147893,168.0
10317.000151217,167.0
10317.000155091,164.0
10317.000147558,163.0
10317.000148106,160.0
10317.000147959,159.0
10317.000157779,157.0
10317.000150299,155.0
10317.X00174147,155.0
10317.000155267,155.0
10317.000154895,154.0
10317.000147944,153.0
10317.000158063,152.0
10317.000148277,151.0
10317.000155594,150.0
10317.000148415,150.0
10317.X00175240,150.0
10317.000152394,150.0
10317.000150200,146.0
10317.X00162917,144.0
10317.X00172258,143.0
10317.000146166,141.0
10317.000157811,141.0
10317.X00173171,139.0
10317.000157845,138.0
10317.000155108,136.0
10317.000154416,135.0
10317.X00166594,135.0
10317.000152372,132.0
10317.000147882,132.0
10317.X00164099,131.0
10317.000155438,131.0
10317.000145770,131.0
10317.000151260,130.0
10317.000152952,127.0
10317.000152477,127.0
10317.000157836,126.0
10317.000157928,126.0
10317.000150519,123.0
10317.000147554,122.0
10317.000155870,118.0
10317.000147494,116.0
10317.000154458,115.0
10317.000154442,115.0
10317.000154560,114.0
10317.X00162206,113.0
10317.X00166567,110.0
10317.000150089,110.0
10317.000149217,109.0
10317.000149031,108.0
10317.000158091,108.0
10317.000154398,107.0
10317.X00160992,107.0
10317.000116590,106.0
10317.X00162146,104.0
10317.X00169982,104.0
10317.000155195,104.0
10317.000155204,102.0
10317.X00173493,102.0
10317.000157985,101.0
10317.000150627,98.0
10317.000155387,97.0
10317.000155253,94.0
10317.000151038,93.0
10317.000155586,92.0
10317.000146531,92.0
10317.X00171055,89.0
10317.000155183,89.0
10317.X00165202,88.0
10317.000155046,87.0
10317.000147843,87.0
10317.000157592,86.0
10317.000148419,86.0
10317.000158030,86.0
10317.X00172218,85.0
10317.000148281,83.0
10317.000150515,83.0
10317.000155402,83.0
10317.000148823,83.0
10317.000145946,81.0
10317.000154578,79.0
10317.X00171968,78.0
10317.000151413,78.0
10317.000155573,77.0
10317.000146019,77.0
10317.000151446,77.0
10317.000149423,77.0
10317.000154467,76.0
10317.X00168402,76.0
10317.000155015,76.0
10317.000154613,76.0
10317.000148973,75.0
10317.000145665,75.0
10317.000155319,74.0
10317.000148979,73.0
10317.000152271,71.0
10317.X00170830,71.0
10317.000150509,70.0
10317.X00172576,69.0
10317.000154706,69.0
10317.000154595,69.0
10317.X00164605,68.0
10317.X00168444,68.0
10317.X00161176,67.0
10317.000150248,67.0
10317.000149349,67.0
10317.X00162440,66.0
10317.000151221,66.0
10317.000154382,66.0
10317.000158037,65.0
10317.000156081,65.0
10317.X00169663,64.0
10317.000149225,63.0
10317.000151146,62.0
10317.000154784,62.0
10317.000150065,60.0
10317.X00170433,59.0
10317.000155934,57.0
10317.000155697,57.0
10317.000149981,57.0
10317.000150522,56.0
10317.000149666,56.0
10317.000155237,56.0
10317.000150498,55.0
10317.000147896,55.0
10317.000154385,55.0
10317.000157616,54.0
10317.000148499,54.0
10317.000156108,53.0
10317.000146750,53.0
10317.X00169175,52.0
10317.000157847,52.0
10317.000151866,52.0
10317.000154922,52.0
10317.000154574,51.0
10317.000150645,50.0
10317.000157934,50.0
10317.000145842,50.0
10317.000157832,50.0
10317.000155294,50.0
10317.X00161646,49.0
10317.X00161002,49.0
10317.000154733,49.0
10317.000150491,49.0
10317.000154511,49.0
10317.000152429,49.0
10317.X00169585,49.0
10317.000151290,49.0
10317.000151257,48.0
10317.X00167425,48.0
10317.000148026,47.0
10317.000155916,47.0
10317.000150021,47.0
10317.000148799,46.0
10317.000154572,46.0
10317.000154725,46.0
10317.000146444,46.0
10317.X00163362,45.0
10317.000154944,45.0
10317.000147731,45.0
10317.000155604,45.0
10317.000150989,45.0
10317.000145613,44.0
10317.000154991,44.0
10317.X00168814,44.0
10317.000154985,43.0
10317.000151320,43.0
10317.X00175352,43.0
10317.000154680,43.0
10317.X00167866,43.0
10317.000146439,43.0
10317.000155409,43.0
10317.X00164871,42.0
10317.000155040,42.0
10317.X00167936,42.0
10317.000155858,41.0
10317.000149219,40.0
10317.000156036,40.0
10317.000150503,40.0
10317.000155906,40.0
10317.000154743,39.0
10317.000154307,38.0
10317.000149657,38.0
10317.000148217,38.0
10317.000154476,37.0
10317.000152363,37.0
10317.000155855,37.0
10317.000146757,36.0
10317.000147905,36.0
10317.000155921,36.0
10317.000145668,33.0
10317.000145731,33.0
10317.000152475,32.0
10317.000156122,31.0
10317.000151119,31.0
10317.000155207,31.0
10317.000155990,30.0
10317.000156084,29.0
10317.000157772,28.0
10317.000155435,28.0
10317.000148406,28.0
10317.X00161470,26.0
10317.000146412,24.0
10317.000149192,23.0
10317.000154661,22.0
10317.000153063,22.0
10317.000155061,22.0
10317.000157823,22.0
10317.000151056,21.0
10317.X00164792,20.0
10317.000149976,20.0
10317.000157539,20.0
10317.000147488,18.0
10317.X00174572,16.0
10317.000158067,14.0
10317.000147908,13.0
10317.000150632,12.0
10317.000157679,12.0
10317.000155861,12.0
10317.X00170645,12.0
10317.000155994,10.0
10317.000154428,9.0
10317.X00173733,9.0
10317.000147957,9.0
10317.000155853,9.0
10317.000155133,9.0
10317.000145733,7.0
10317.000155597,5.0
10317.000154436,4.0
10317.X00163858,4.0
10317.000155103,4.0
10317.000149019,4.0
10317.000147993,3.0
10317.000157550,3.0
10317.000155069,3.0
10317.000151904,2.0
10317.000149316,2.0
10317.000157526,2.0
10317.000147497,1.0,no
10317.000146736,0.0,no
10317.000158072,0.0,no
