gene, test statistic, p-value, number of groups
p0037-p0003-p0295-p0023-p0396,1.6114728776663987,0.133,2
p0399-p0279-p0137-p0148-p0365,1.8573508978721818,0.07,2
p0130-p0144-p0006-p0208-p0121,2.3694696516537257,0.047,2
p0002-p0274-p0037-p0345-p0203,0.7603868550907781,0.668,2
p0009-p0304-p0007-p0180-p0311,2.2292298177000123,0.017,2
p0330-p0256-p0303-p0123-p0382,1.925227602627663,0.036,2
p0133-p0351-p0034-p0227-p0149,-1.0221931881649684,0.996,2
p0200-p0209-p0397-p0076-p0159,1.6329128585260055,0.059,2
p0387-p0174-p0085-p0397-p0303,1.5590236898470515,0.132,2
p0072-p0106-p0016-p0153-p0334,1.3182910912766619,0.275,2
p0332-p0175-p0388-p0253-p0140,0.9368199138400994,0.599,2
p0372-p0233-p0087-p0143-p0174,0.4062120666651346,0.795,2
p0021-p0050-p0348-p0364-p0082,1.7608906703798237,0.102,2
p0265-p0344-p0114-p0271-p0191,0.8447956651484863,0.638,2
p0041-p0061-p0148-p0317-p0067,1.578771584296782,0.129,2
p0007-p0263-p0065-p0031-p0242,0.9843227587480728,0.559,2
p0294-p0187-p0019-p0062-p0011,1.5447307500063385,0.234,2
p0180-p0280-p0238-p0004-p0040,1.7884980543937392,0.064,2
p0297-p0264-p0367-p0163-p0029,2.428312160258102,0.039,2
p0114-p0321-p0312-p0307-p0232,3.141773692994551,0.04,2
p0232-p0360-p0237-p0120-p0209,1.3755460167167257,0.258,2
p0127-p0032-p0172-p0257-p0272,1.1681876883396498,0.393,2
p0106-p0149-p0230-p0044-p0278,1.9917634574045497,0.088,2
p0007-p0032-p0376-p0134-p0364,1.1444005176792005,0.401,2
p0284-p0183-p0228-p0310-p0217,1.0135452141325814,0.52,2
p0007-p0351-p0017-p0046-p0287,1.026762346553388,0.493,2
p0001-p0101-p0244-p0019-p0041,0.2799142879410092,0.908,2
p0288-p0054-p0030-p0104-p0219,1.3520802125946756,0.253,2
p0057-p0316-p0213-p0361-p0115,1.4448743314426575,0.226,2
p0171-p0292-p0209-p0298-p0141,1.1348867658692863,0.37,2
p0225-p0339-p0131-p0393-p0185,1.35983463084675,0.281,2
p0092-p0323-p0136-p0047-p0090,1.1235861299758743,0.39,2
p0149-p0328-p0272-p0133-p0056,1.4258854956893563,0.186,2
p0249-p0188-p0072-p0129-p0178,1.8394201741304184,0.161,2
p0170-p0144-p0150-p0215-p0167,0.5502237910361004,0.758,2
p0107-p0123-p0378-p0055-p0016,1.5810904387978184,0.157,2
p0088-p0291-p0104-p0021-p0358,1.9744424893976673,0.052,2
p0226-p0017-p0161-p0214-p0039,0.8527933757290248,0.58,2
p0201-p0092-p0254-p0017-p0229,0.8970229279598957,0.577,2
p0301-p0039-p0007-p0113-p0203,1.439012173324646,0.202,2
p0066-p0236-p0119-p0209-p0000,1.0294977822386777,0.469,2
p0000-p0110-p0288-p0050-p0038,0.8181576625314589,0.667,2
p0225-p0041-p0002-p0109-p0209,1.7817266359683173,0.036,2
p0356-p0399-p0127-p0034-p0103,1.9474819603183149,0.024,2
p0193-p0195-p0163-p0326-p0066,1.9152608607466466,0.024,2
p0118-p0040-p0307-p0267-p0178,-0.08127626557999956,0.898,2
p0156-p0351-p0019-p0070-p0084,0.5752329671104719,0.831,2
p0062-p0080-p0115-p0290-p0172,1.591510019932581,0.234,2
p0108-p0272-p0377-p0370-p0236,1.3792548646755254,0.269,2
p0183-p0062-p0273-p0186-p0199,1.0068050548199468,0.522,2
p0121-p0397-p0388-p0314-p0319,1.2320249904976188,0.419,2
p0228-p0261-p0332-p0080-p0065,1.473213297161468,0.227,2
p0060-p0363-p0084-p0266-p0061,2.758521327025727,0.02,2
p0282-p0095-p0087-p0380-p0031,1.1657086527091833,0.364,2
p0188-p0032-p0342-p0125-p0328,1.2162157880759414,0.413,2
p0311-p0247-p0089-p0398-p0315,1.8339398551470603,0.083,2
p0236-p0255-p0261-p0323-p0091,1.3429449986856647,0.345,2
p0284-p0107-p0312-p0334-p0347,2.2841284186625623,0.126,2
p0219-p0373-p0171-p0378-p0213,0.6077835589971772,0.721,2
p0193-p0318-p0084-p0229-p0346,2.358848488512046,0.05,2
p0150-p0389-p0186-p0077-p0370,1.7169788192157889,0.143,2
p0308-p0036-p0005-p0047-p0237,1.7427190863040447,0.199,2
p0128-p0256-p0282-p0340-p0370,2.2647841118610827,0.034,2
p0062-p0000-p0076-p0171-p0338,0.9935889862786551,0.528,2
p0011-p0118-p0196-p0049-p0370,1.0618776572028992,0.508,2
p0356-p0134-p0096-p0122-p0000,1.5700701156969477,0.183,2
p0255-p0027-p0345-p0066-p0060,2.563239976149344,0.017,2
p0110-p0282-p0297-p0207-p0298,2.1284019028152077,0.047,2
p0343-p0381-p0382-p0277-p0035,1.3232962973101354,0.279,2
p0397-p0033-p0184-p0327-p0386,1.0429505256300482,0.478,2
p0230-p0395-p0263-p0339-p0044,2.2642324480805325,0.04,2
p0201-p0060-p0305-p0207-p0188,0.542433134867311,0.798,2
p0021-p0102-p0096-p0162-p0089,1.823670150468143,0.069,2
p0284-p0332-p0104-p0187-p0101,1.2759206530231237,0.395,2
p0137-p0148-p0246-p0228-p0100,1.8457818563226922,0.135,2
p0024-p0154-p0206-p0366-p0181,1.3497142235809874,0.228,2
p0093-p0382-p0157-p0051-p0202,1.926548455720062,0.063,2
p0055-p0123-p0034-p0176-p0156,1.231077764400211,0.312,2
p0099-p0250-p0325-p0175-p0373,1.0735208921752424,0.487,2
p0352-p0313-p0009-p0272-p0179,1.020800498279461,0.528,2
p0354-p0252-p0177-p0216-p0061,1.9262781158411617,0.052,2
p0257-p0091-p0069-p0386-p0228,1.205435506778674,0.386,2
p0225-p0319-p0078-p0001-p0104,1.5837891736109706,0.127,2
p0109-p0358-p0363-p0000-p0382,2.3201907034076656,0.051,2
p0343-p0130-p0170-p0381-p0000,1.548643384077791,0.127,2
p0368-p0190-p0333-p0300-p0011,0.9097676106316064,0.548,2
p0266-p0361-p0135-p0062-p0074,1.6303407514341162,0.121,2
p0351-p0128-p0317-p0305-p0397,1.4774773465897806,0.209,2
p0005-p0338-p0077-p0132-p0047,1.69054500554276,0.086,2
p0203-p0018-p0096-p0315-p0392,1.5349278701272058,0.23,2
p0269-p0279-p0394-p0076-p0197,0.99027830617956,0.491,2
p0085-p0356-p0166-p0110-p0250,1.285089230427637,0.277,2
p0354-p0283-p0263-p0328-p0066,1.069207461200413,0.451,2
p0045-p0135-p0214-p0355-p0113,1.3168816873761517,0.249,2
p0150-p0238-p0263-p0163-p0066,1.985830364792985,0.063,2
p0237-p0092-p0344-p0386-p0253,1.6318719980810774,0.23,2
p0339-p0089-p0019-p0060-p0184,1.4341746836527667,0.265,2
p0057-p0136-p0339-p0328-p0073,1.4819252160757284,0.215,2
p0316-p0198-p0274-p0095-p0044,1.7891630594463268,0.175,2
p0150-p0241-p0155-p0258-p0300,1.586387299263887,0.173,2
p0279-p0138-p0295-p0282-p0397,1.5209581212406946,0.213,2
p0035-p0072-p0247-p0173-p0098,1.217857453221295,0.303,2
p0270-p0310-p0207-p0352-p0292,1.0575333734006225,0.495,2
p0162-p0309-p0180-p0362-p0103,2.4426798811834702,0.039,2
p0396-p0286-p0345-p0190-p0337,0.6327441299548082,0.727,2
p0137-p0111-p0072-p0037-p0113,1.334656524965785,0.18,2
p0127-p0227-p0365-p0335-p0269,0.15049931545888962,0.938,2
p0013-p0074-p0338-p0020-p0250,1.451584199422446,0.236,2
p0133-p0220-p0318-p0384-p0145,0.7651430748350047,0.663,2
p0073-p0031-p0080-p0282-p0112,1.2516311679280472,0.381,2
p0261-p0092-p0257-p0259-p0036,1.9438412884308112,0.103,2
p0111-p0006-p0097-p0120-p0066,1.5783169611577479,0.16,2
p0107-p0163-p0222-p0112-p0398,1.266887208601321,0.328,2
p0215-p0293-p0179-p0046-p0319,-0.5755098489625163,0.971,2
p0366-p0126-p0038-p0278-p0369,1.415220410685434,0.209,2
p0340-p0367-p0008-p0373-p0345,-0.17238900784312983,0.885,2
p0177-p0051-p0320-p0380-p0108,0.8884600409936318,0.623,2
p0381-p0058-p0237-p0259-p0286,0.6238784392170302,0.743,2
p0052-p0056-p0173-p0371-p0008,1.6514521526870485,0.08,2
p0355-p0139-p0311-p0399-p0272,1.8451739559453688,0.063,2
p0176-p0155-p0322-p0060-p0344,1.2159908685439367,0.396,2
p0208-p0098-p0137-p0037-p0294,1.6691418312090107,0.185,2
p0050-p0121-p0027-p0191-p0324,1.7335908925058119,0.16,2
p0073-p0024-p0264-p0051-p0025,1.0924714631175267,0.387,2
p0230-p0271-p0301-p0184-p0016,1.2959905558937341,0.37,2
p0086-p0068-p0187-p0036-p0147,2.290318453180589,0.044,2
p0017-p0238-p0216-p0176-p0387,1.6614481522713647,0.187,2
p0351-p0005-p0396-p0137-p0111,0.2783592702052653,0.921,2
p0261-p0170-p0230-p0313-p0086,2.3396164278347755,0.038,2
p0018-p0177-p0098-p0263-p0361,1.5983224011414503,0.093,2
p0111-p0192-p0062-p0125-p0376,1.1508772731886454,0.399,2
p0392-p0049-p0150-p0293-p0229,1.7295928114217862,0.137,2
p0011-p0383-p0099-p0219-p0358,1.0823262878731024,0.459,2
p0147-p0144-p0355-p0109-p0241,1.6156363816494497,0.142,2
p0345-p0236-p0370-p0380-p0313,1.2578129946056027,0.403,2
p0268-p0226-p0386-p0310-p0342,1.7964824437167874,0.161,2
p0001-p0050-p0222-p0160-p0197,1.0550293807029312,0.466,2
p0041-p0098-p0064-p0168-p0262,0.5943685608037416,0.789,2
p0045-p0386-p0094-p0351-p0381,-0.21492672917648098,0.946,2
p0169-p0391-p0041-p0372-p0025,-0.3664747746678644,0.949,2
p0392-p0259-p0055-p0289-p0041,1.7500906697564034,0.146,2
p0399-p0193-p0187-p0098-p0280,2.472863487754188,0.029,2
p0243-p0244-p0129-p0264-p0142,1.1814425813351663,0.348,2
p0022-p0268-p0024-p0014-p0046,0.8209982493268794,0.676,2
p0372-p0286-p0116-p0139-p0071,-1.334655531484859,0.987,2
p0089-p0131-p0340-p0288-p0308,0.9571172966937953,0.525,2
p0182-p0344-p0069-p0211-p0342,1.4693952519303521,0.258,2
p0242-p0073-p0102-p0141-p0234,2.0445162018895267,0.055,2
p0231-p0076-p0101-p0268-p0119,0.20045727469239277,0.927,2
p0183-p0232-p0319-p0318-p0038,1.7302040290325598,0.16,2
p0347-p0274-p0133-p0113-p0185,0.5947284199375039,0.775,2
p0071-p0306-p0146-p0216-p0114,1.1136538770505757,0.463,2
p0297-p0328-p0228-p0078-p0163,1.8277915892973449,0.091,2
p0357-p0232-p0149-p0116-p0018,1.6641673266576562,0.109,2
p0107-p0068-p0029-p0015-p0110,1.1725282703150237,0.353,2
p0039-p0048-p0299-p0252-p0287,1.2967494090856906,0.279,2
p0177-p0332-p0295-p0018-p0387,1.8699573905543898,0.061,2
p0107-p0249-p0391-p0257-p0005,2.040022520009908,0.088,2
p0056-p0348-p0076-p0324-p0310,0.9417018105143635,0.545,2
p0387-p0152-p0195-p0134-p0005,1.443779536730136,0.223,2
p0185-p0324-p0111-p0046-p0305,-0.014636517669362017,0.951,2
p0116-p0350-p0049-p0073-p0315,1.498685192771911,0.151,2
p0223-p0210-p0169-p0057-p0063,1.2159246277597775,0.276,2
p0186-p0255-p0235-p0077-p0354,2.8272734954759837,0.006,2
p0080-p0034-p0163-p0315-p0222,1.3710884748126742,0.285,2
p0190-p0213-p0288-p0138-p0086,1.5455523527715702,0.146,2
p0005-p0205-p0187-p0156-p0219,2.2627998266142906,0.063,2
p0020-p0385-p0109-p0393-p0360,1.5166261625271158,0.216,2
p0269-p0168-p0030-p0361-p0250,0.4799344328886256,0.804,2
p0384-p0108-p0295-p0354-p0265,1.6755792895372847,0.132,2
p0358-p0324-p0291-p0234-p0168,1.3041700810286905,0.316,2
p0330-p0385-p0282-p0113-p0016,1.2800313089597626,0.297,2
p0334-p0246-p0343-p0067-p0204,0.9673214414521867,0.566,2
p0109-p0089-p0146-p0095-p0361,1.5762938217267715,0.089,2
p0273-p0001-p0096-p0345-p0097,1.387189694230359,0.338,2
p0048-p0393-p0314-p0233-p0150,1.1821605294194049,0.435,2
p0330-p0263-p0232-p0203-p0173,1.2410759499353254,0.363,2
p0177-p0282-p0095-p0351-p0289,0.4070143501628963,0.85,2
p0237-p0341-p0273-p0077-p0299,1.2022096019931783,0.438,2
p0262-p0127-p0209-p0201-p0057,0.8405012408955798,0.641,2
p0352-p0284-p0118-p0184-p0394,0.7758296079076414,0.61,2
p0111-p0181-p0342-p0263-p0130,1.700166004021355,0.142,2
p0141-p0257-p0277-p0232-p0145,1.7232001201691562,0.149,2
p0229-p0070-p0358-p0099-p0063,2.0984054751068912,0.043,2
p0270-p0096-p0099-p0392-p0228,1.21018649459573,0.347,2
p0307-p0037-p0039-p0124-p0346,1.4079130876711046,0.275,2
p0273-p0237-p0221-p0182-p0307,0.7665824259273482,0.722,2
p0072-p0346-p0313-p0319-p0065,2.216386463364341,0.04,2
