gene, test statistic, p-value, number of groups
p0394-p0244-p0005,1.3586196653849834,0.324,2
p0229-p0008-p0334,1.520150659959274,0.199,2
p0391-p0010-p0247,0.9957029756813909,0.484,2
p0317-p0050-p0255,2.2201309276793024,0.027,2
p0065-p0030-p0324,1.1590105537403759,0.411,2
p0087-p0085-p0169,1.320953523319856,0.229,2
p0130-p0292-p0273,0.964500201824997,0.507,2
p0105-p0102-p0192,1.0323706447708743,0.457,2
p0221-p0351-p0259,0.7166719848598662,0.735,2
p0143-p0008-p0285,1.6018048452062912,0.167,2
p0102-p0063-p0230,2.1110441336418884,0.029,2
p0242-p0040-p0085,1.705402411700058,0.101,2
p0337-p0159-p0002,1.4973981620334607,0.126,2
p0202-p0022-p0036,1.4002453848702001,0.222,2
p0162-p0064-p0191,1.0279897695280527,0.495,2
p0303-p0369-p0112,1.499953351832645,0.15,2
p0267-p0151-p0203,1.6110356742105374,0.254,2
p0206-p0254-p0247,1.9187029102266389,0.034,2
p0387-p0285-p0027,1.2392706933715392,0.366,2
p0347-p0108-p0085,1.632148469694604,0.064,2
p0215-p0332-p0309,2.491667611211993,0.057,2
p0135-p0122-p0377,1.4343148468206768,0.17,2
p0123-p0193-p0310,1.4916059270132336,0.075,2
p0217-p0139-p0347,0.7018447493980091,0.757,2
p0338-p0166-p0259,1.8553935394674885,0.109,2
p0322-p0299-p0067,1.533620862889304,0.218,2
p0074-p0307-p0298,0.8356677997584505,0.65,2
p0175-p0155-p0077,1.131782440740992,0.371,2
p0196-p0119-p0265,1.6972974308871391,0.09,2
p0105-p0238-p0264,2.221222886060336,0.022,2
p0176-p0100-p0006,1.2462618351097825,0.245,2
p0188-p0347-p0233,0.95228456618717,0.525,2
p0360-p0152-p0271,0.9085739149714599,0.639,2
p0068-p0307-p0274,0.02138351838237184,0.94,2
p0154-p0390-p0350,1.2299689185892553,0.344,2
p0076-p0136-p0319,2.0639460940662904,0.008,2
p0017-p0043-p0151,0.6139875455175154,0.79,2
p0156-p0072-p0098,1.874739439537687,0.014,2
p0018-p0036-p0279,1.6185996996523082,0.082,2
p0070-p0396-p0031,1.7827148124533208,0.047,2
p0185-p0192-p0072,1.0113764214349115,0.473,2
p0295-p0136-p0116,2.2525875289608788,0.025,2
p0367-p0179-p0166,0.5121617186616249,0.819,2
p0107-p0090-p0030,2.045080764368637,0.015,2
p0071-p0351-p0175,0.6586018705194476,0.791,2
p0045-p0304-p0203,1.5211028070320005,0.162,2
p0061-p0185-p0232,1.2996343218084523,0.235,2
p0295-p0037-p0315,1.4331539680020349,0.225,2
p0270-p0127-p0172,1.3204195126769651,0.134,2
p0347-p0029-p0345,1.2725954267013881,0.399,2
p0392-p0078-p0014,1.4555947757885337,0.241,2
p0347-p0373-p0033,1.1487133170186963,0.413,2
p0379-p0300-p0382,0.9783615742335477,0.582,2
p0365-p0136-p0001,1.8577375018947753,0.028,2
p0201-p0101-p0308,0.5522374004158115,0.716,2
p0144-p0156-p0265,1.088703458920224,0.449,2
p0248-p0390-p0097,2.402327816628757,0.011,2
p0269-p0280-p0111,1.3307525205659751,0.266,2
p0279-p0105-p0272,0.816769755444303,0.659,2
p0005-p0118-p0116,1.556418491294474,0.089,2
p0361-p0196-p0325,1.7641482411253442,0.061,2
p0289-p0357-p0014,0.23811449809227214,0.873,2
p0370-p0313-p0320,1.2589540074764982,0.363,2
p0344-p0092-p0260,1.3061683341291925,0.299,2
p0105-p0235-p0109,1.4490207626072567,0.159,2
p0157-p0259-p0096,1.5891936334143504,0.197,2
p0021-p0272-p0030,1.894508057680411,0.049,2
p0311-p0120-p0095,1.7901634291749209,0.089,2
p0134-p0157-p0263,0.585150270833615,0.822,2
p0324-p0171-p0309,3.7535746380498374,0.001,2
